,0
2026-05-20 13:30:00+00:00,10000.0
2026-05-21 15:50:00+00:00,10400.0
2026-06-08 13:35:00+00:00,10816.0
2026-06-09 15:20:00+00:00,4759.039999999999
2026-06-10 14:20:00+00:00,4949.401599999999
2026-06-11 16:15:00+00:00,5147.377664
2026-06-12 14:50:00+00:00,5353.27277056
2026-06-17 19:35:00+00:00,2355.4400190464
2026-06-18 13:35:00+00:00,2449.6576198082557
2026-06-24 14:40:00+00:00,2547.643924600586
2026-06-25 14:20:00+00:00,2649.5496815846095
2026-06-26 15:30:00+00:00,2755.531668847994
2026-06-29 13:45:00+00:00,2865.7529356019136
2026-07-01 15:15:00+00:00,2980.38305302599
2026-07-09 15:05:00+00:00,3099.59837514703
2026-07-17 13:30:00+00:00,1363.823285064693
2026-07-20 14:55:00+00:00,600.0822454284648
2026-07-27 16:25:00+00:00,624.0855352456034
2026-07-30 14:25:00+00:00,649.0489566554276
2026-07-31 15:55:00+00:00,675.0109149216447
2026-08-07 14:25:00+00:00,702.0113515185105
2026-08-28 14:35:00+00:00,730.091805579251
